--------- beginning of main
04-20 01:54:13.709 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.716 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.721 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.789 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.794 13762 13778 D EGL_emulation: app_time_stats: avg=1200.71ms min=2.51ms max=17966.91ms count=15
04-20 01:54:13.798 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.814 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.817 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.876 13762 13822 D TrafficStats: tagSocket(137) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.890 13762 13822 D TrafficStats: tagSocket(137) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.893 13762 13822 D TrafficStats: tagSocket(137) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.950 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.964 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:13.967 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.022 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.038 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.040 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.097 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.110 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.113 13762 13822 D TrafficStats: tagSocket(131) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.168 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.182 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.185 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.243 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.257 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.261 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.317 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.330 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.333 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.388 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.402 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.406 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.460 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.475 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.498 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.555 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.569 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.572 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.627 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.641 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.644 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.699 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.713 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.721 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.736 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.739 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.794 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.808 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.811 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.829 13762 13778 D EGL_emulation: app_time_stats: avg=51.76ms min=16.04ms max=83.07ms count=20
04-20 01:54:14.867 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.881 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.883 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.939 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.952 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:14.957 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.013 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.026 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.033 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.050 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.053 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.108 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.122 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.126 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.183 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.196 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.199 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.255 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.269 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.273 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.329 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.342 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.345 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.400 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.414 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.417 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.472 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.487 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.502 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.816 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.821 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.825 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.860 13762 13778 D EGL_emulation: app_time_stats: avg=85.86ms min=18.28ms max=365.08ms count=12
04-20 01:54:15.874 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.879 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.893 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.897 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.953 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.968 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:15.971 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.026 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.039 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.043 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.100 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.114 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.120 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.133 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.137 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.152 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.157 13762 13822 D TrafficStats: tagSocket(129) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.172 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.174 13762 13822 D TrafficStats: tagSocket(127) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.229 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.244 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.250 13762 13822 D TrafficStats: tagSocket(130) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.264 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.267 13762 13822 D TrafficStats: tagSocket(113) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.321 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.334 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.337 13762 13822 D TrafficStats: tagSocket(116) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.392 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.406 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.409 13762 13822 D TrafficStats: tagSocket(120) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.463 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.478 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.480 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.484 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.487 13762 13822 D TrafficStats: tagSocket(124) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.534 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.549 13762 13822 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-20 01:54:16.563 13762 13822 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
