2207:04-21 23:32:30.911 D/ActivityManager(  683): sync unfroze 1396 com.google.android.permissioncontroller for 3
2239:04-21 23:32:30.921 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 10146, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
2244:04-21 23:32:30.925 W/AlarmManager(  683): Package com.impos2.mixcretailassemblyrn84, uid 10214 lost permission to set exact alarms!
2285:04-21 23:32:30.929 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_SMS, mode = allow, callingUid = 1001, oldMode = allow
2286:04-21 23:32:30.929 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_SMS, mode = allow, callingUid = 1001, oldMode = allow
2287:04-21 23:32:30.929 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_WAP_PUSH, mode = allow, callingUid = 1001, oldMode = allow
2288:04-21 23:32:30.929 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = SEND_SMS, mode = allow, callingUid = 1001, oldMode = allow
2289:04-21 23:32:30.929 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
2294:04-21 23:32:30.930 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 10146, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
2295:04-21 23:32:30.930 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_SMS, mode = allow, callingUid = 1001, oldMode = allow
2296:04-21 23:32:30.930 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_SMS, mode = allow, callingUid = 1001, oldMode = allow
2297:04-21 23:32:30.930 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_WAP_PUSH, mode = allow, callingUid = 1001, oldMode = allow
2298:04-21 23:32:30.930 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = SEND_SMS, mode = allow, callingUid = 1001, oldMode = allow
2299:04-21 23:32:30.930 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
2938:04-21 23:32:48.348 V/GrammaticalInflectionUtils(  683): AttributionSource: AttributionSource { uid = 10108, packageName = null, attributionTag = null, token = android.os.Binder@d3d534, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
2946:04-21 23:32:48.360 D/SafetySourceDataValidat(  683): No cert check requested for package com.google.android.permissioncontroller
2977:04-21 23:32:48.395 V/GrammaticalInflectionUtils(  683): AttributionSource: AttributionSource { uid = 10214, packageName = null, attributionTag = null, token = android.os.Binder@d3d534, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
2988:04-21 23:32:48.404 V/GrammaticalInflectionUtils(  683): AttributionSource: AttributionSource { uid = 10157, packageName = null, attributionTag = null, token = android.os.Binder@d3d534, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
2993:04-21 23:32:48.405 V/GrammaticalInflectionUtils(  683): AttributionSource: AttributionSource { uid = 10214, packageName = null, attributionTag = null, token = android.os.Binder@d3d534, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
3303:04-21 23:32:48.655 I/ConnectorManager(14139): connector initialized
3504:04-21 23:32:48.976 W/InteractionJankMonitor(14139): Initializing without READ_DEVICE_CONFIG permission. enabled=true, interval=1, missedFrameThreshold=3, frameTimeThreshold=64, package=com.impos2.mixcretailassemblyrn84
3559:04-21 23:32:49.501 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 10146, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
3565:04-21 23:32:49.504 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_SMS, mode = allow, callingUid = 1001, oldMode = allow
3567:04-21 23:32:49.505 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_SMS, mode = allow, callingUid = 1001, oldMode = allow
3568:04-21 23:32:49.505 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_WAP_PUSH, mode = allow, callingUid = 1001, oldMode = allow
3569:04-21 23:32:49.505 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = SEND_SMS, mode = allow, callingUid = 1001, oldMode = allow
3571:04-21 23:32:49.506 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
3580:04-21 23:32:49.510 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 10146, code = READ_CELL_BROADCASTS, mode = allow, callingUid = 1001, oldMode = allow
3582:04-21 23:32:49.510 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = READ_SMS, mode = allow, callingUid = 1001, oldMode = allow
3584:04-21 23:32:49.510 W/AppOpService(  683): Ignored setUidMode call for runtime permission app op: uid = 1001, code = RECEIVE_SMS, mode = allow, callingUid = 1001, oldMode = allow
