04-22 00:28:43.773 D/TrafficStats(14623): tagSocket(5) with statsTag=0x8001, statsUid=-1
04-22 00:28:53.789 D/TrafficStats(14623): tagSocket(5) with statsTag=0x8001, statsUid=-1
04-22 00:28:57.155 E/WifiScoringParams(  519): Invalid frequency(-1), using 5G as default rssi array
04-22 00:29:00.006 I/AiAiEcho( 1598): Predicting[0]: 
04-22 00:29:00.006 I/AiAiEcho( 1598): Ranked targets strategy: SORT, count: 0, ranking metadata: 
04-22 00:29:00.008 I/AiAiEcho( 1598): #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0
04-22 00:29:00.008 I/AiAiEcho( 1598): #postPredictionTargets: Sending updates to UISurface home with targets# 0
04-22 00:29:00.008 I/AiAiEcho( 1598): #postPredictionTargets: Sending updates to UISurface media_data_manager with targets# 0
04-22 00:29:00.022 D/SsMediaDataProvider(  728): Forwarding Smartspace updates []
04-22 00:29:00.037 D/EGL_emulation(  728): app_time_stats: avg=25605.59ms min=25605.59ms max=25605.59ms count=1
04-22 00:29:00.934 D/WifiNl80211Manager(  519): Scan result ready event
04-22 00:29:00.934 D/WifiNative(  519): Scan result ready event
04-22 00:29:03.333 W/BatteryExternalStatsWorker(  519): error reading Bluetooth stats: 11
04-22 00:29:03.334 D/TelephonyManager(  519): requestModemActivityInfo: Sending result to app: ModemActivityInfo{ mTimestamp=14400027 mSleepTimeMs=0 mIdleTimeMs=14399958 mActivityStatsTechSpecificInfo=[{mRat=UNKNOWN,mFrequencyRange=UNKNOWN,mTxTimeMs[]=[0, 0, 0, 0, 0],mRxTimeMs=0}]}
04-22 00:29:03.359 W/system_server(  519): Reducing the number of considered missed Gc histogram windows from 149 to 100
04-22 00:29:03.370 I/netd    (  293): tetherGetStats() -> {[]} <0.45ms>
04-22 00:29:03.803 D/TrafficStats(14623): tagSocket(5) with statsTag=0x8001, statsUid=-1
04-22 00:29:06.895 W/healthd (  312): battery l=100 v=5000 t=25.0 h=2 st=4 c=900000 fc=3000000 cc=10 chg=
04-22 00:29:09.588 I/UsageStatsService(  519): User[0] Flushing usage stats to disk
04-22 00:29:10.290 E/bluetooth(  790): packages/modules/Bluetooth/system/gd/os/linux_generic/files.cc:202 FileCreatedTime: unable to read '/data/misc/bluetooth/logs/btsnooz_hci.log' file metadata, error: No such file or directory
04-22 00:29:11.534 D/ControlsListingControllerImpl(  728): Subscribing callback, service count: 0
04-22 00:29:11.541 D/ControlsListingControllerImpl(  728): Unsubscribing callback
04-22 00:29:13.159 E/android.hardware.power.stats@1.0-service-mock(  317): Failed to getEnergyData
04-22 00:29:13.820 D/TrafficStats(14623): tagSocket(5) with statsTag=0x8001, statsUid=-1
04-22 00:29:13.983 W/BatteryExternalStatsWorker(  519): error reading Bluetooth stats: 11
04-22 00:29:13.988 D/TelephonyManager(  519): requestModemActivityInfo: Sending result to app: ModemActivityInfo{ mTimestamp=14410681 mSleepTimeMs=0 mIdleTimeMs=14410610 mActivityStatsTechSpecificInfo=[{mRat=UNKNOWN,mFrequencyRange=UNKNOWN,mTxTimeMs[]=[0, 0, 0, 0, 0],mRxTimeMs=0}]}
04-22 00:29:14.044 I/netd    (  293): tetherGetStats() -> {[]} <1.57ms>
04-22 00:29:14.046 W/CpuPowerCalculator(  519): UID 50175 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 50174 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 50173 CPU freq # mismatch: Power Profile # 2 actual # 8
